Designator,Mid X,Mid Y,Rotation,Layer
AE1,16.05,-14.0,180.0,top
C1,36.6,-30.4,270.0,top
C10,19.5,-34.4,180.0,top
C11,19.5,-35.4,180.0,top
C12,25.8,-30.4,90.0,top
C13,18.4,-19.02,90.0,top
C14,21.0,-46.2,90.0,top
C15,30.6,-38.9,270.0,top
C16,37.6,-44.3,0.0,top
C2,23.4,-29.1,0.0,top
C3,23.48,-33.6,180.0,top
C4,21.5,-36.623692,270.0,top
C5,21.5,-38.5,270.0,top
C6,31.1,-46.1,180.0,top
C7,18.1,-45.9,90.0,top
C8,19.5,-33.4,180.0,top
C9,29.8,-35.2,90.0,top
D1,18.6,-42.5,0.0,top
J1,15.0,-37.3,180.0,top
J3,31.35,-20.525,270.0,top
J4,27.5,-52.36,0.0,top
L1,24.1125,-43.1,0.0,top
L2,18.4,-16.1,270.0,top
L3,19.115,-17.5,180.0,top
R1,33.9,-52.7,0.0,top
R10,21.9,-22.4,180.0,top
R11,21.9,-18.4,180.0,top
R12,21.9,-19.4,180.0,top
R13,20.8,-42.39,270.0,top
R2,36.8,-34.7,180.0,top
R3,21.91,-21.4,180.0,top
R4,36.6,-32.4,90.0,top
R5,26.1,-44.2,90.0,top
R6,26.1,-46.11,270.0,top
R7,22.6,-44.8,270.0,top
R8,24.4525,-41.9,0.0,top
R9,21.9,-20.4,180.0,top
SW1,35.7,-48.475,90.0,top
SW2,32.425,-31.5,0.0,top
U1,25.8,-37.2,90.0,top
U2,24.35,-45.45,90.0,top
U3,34.1,-39.9,0.0,top
Y1,23.2,-31.35,0.0,top
Y3,19.9,-37.6,90.0,top
